Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes)
/down_blocks.0/resnets.0/norm1/Constant_1,Constant,0.0,0.0,128.0,0.0,0.0,0.0,,32,,0,32,0.0,0.0,128.0
/down_blocks.0/resnets.0/norm1/Constant_2,Constant,0.0,0.0,128.0,0.0,0.0,0.0,,32,,0,32,0.0,0.0,128.0
/down_blocks.0/resnets.0/norm1/InstanceNormalization,InstanceNormalization,0.0,0.0,5242880.0,0.04,0.0,0.04,"1x32x40960, 32, 32",1x32x40960,,1310784,1310720,5243136.0,0.0,5242880.0
/down_blocks.0/resnets.0/norm1/Shape,Shape,0.0,0.0,32.0,0.0,0.0,0.0,1x320x64x64,4,,1310720,4,5242880.0,0.0,32.0
/down_blocks.0/resnets.0/norm1/Reshape_1,Reshape,0.0,0.0,5242880.0,0.04,0.0,0.04,"1x32x40960, 4",1x320x64x64,,1310724,1310720,5242912.0,0.0,5242880.0
/down_blocks.0/resnets.0/norm1/Mul,Mul,320.0,0.0,5244160.0,0.04,0.0,0.04,1x320x64x64,1x320x64x64,320x1x1,1310720,1310720,5242880.0,1280.0,5242880.0
/down_blocks.0/resnets.0/norm1/Add,Add,320.0,0.0,5244160.0,0.04,0.0,0.04,1x320x64x64,1x320x64x64,320x1x1,1310720,1310720,5242880.0,1280.0,5242880.0
/down_blocks.0/resnets.0/act/Sigmoid,Sigmoid,0.0,0.0,5242880.0,0.04,0.0,0.04,1x320x64x64,1x320x64x64,,1310720,1310720,5242880.0,0.0,5242880.0
/down_blocks.0/resnets.0/act/Mul,Mul,0.0,0.0,5242880.0,0.04,0.0,0.04,"1x320x64x64, 1x320x64x64",1x320x64x64,,2621440,1310720,10485760.0,0.0,5242880.0
/down_blocks.0/resnets.0/conv1/Conv,Conv,921920.0,0.11,8930560.0,0.06,0.03,0.04,1x320x64x64,1x320x64x64,"320x320x3x3, 320",1310720,1310720,5242880.0,3687680.0,5242880.0
/down_blocks.0/resnets.0/act_1/Sigmoid,Sigmoid,0.0,0.0,5120.0,0.0,0.0,0.0,1x1280,1x1280,,1280,1280,5120.0,0.0,5120.0
